Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Label
0,90,22,6,68,25,88,94,83,41,1
97,97,14,13,18,86,18,52,47,68,0
91,11,25,5,18,68,71,100,27,44,0
41,37,28,76,90,7,87,65,1,8,-1
14,64,33,48,25,42,85,60,65,65,1
71,96,70,3,15,28,52,85,83,79,0
88,39,75,64,26,48,8,90,56,44,0
72,42,75,54,28,73,60,57,72,23,0
35,13,90,56,49,18,24,2,4,30,0
11,97,71,42,71,47,3,44,88,73,-1
37,67,75,24,36,10,10,95,33,2,1
80,62,86,79,80,31,19,80,21,69,-1
30,12,81,65,32,9,90,78,34,64,-1
8,58,45,21,22,91,3,100,45,79,0
85,23,20,79,80,92,77,79,68,22,1
41,71,41,80,75,47,96,76,53,42,0
90,54,43,68,57,24,85,100,57,12,0
73,91,95,95,77,69,100,35,71,52,-1
48,78,24,85,37,85,47,4,18,20,1
48,11,33,89,5,29,62,6,92,25,-1
14,34,11,37,16,91,60,27,93,96,0
65,65,6,15,74,43,53,86,50,99,-1
72,79,71,73,40,63,67,9,82,66,1
23,30,63,79,80,87,23,76,73,19,0
3,11,0,54,6,3,56,14,78,26,0
59,96,17,98,78,12,40,29,85,55,1
26,70,81,70,39,80,48,0,12,77,-1
72,47,90,26,15,40,69,93,80,38,1
16,96,98,92,38,97,92,24,92,22,1
86,10,2,61,22,34,21,26,70,38,1
15,42,29,36,88,68,22,57,10,12,1
11,20,54,32,39,61,64,24,31,39,1
5,42,40,97,85,73,30,64,4,93,-1
2,13,33,55,85,22,73,62,63,18,0
30,60,69,58,53,55,73,74,24,40,-1
50,28,100,26,53,15,13,84,97,66,0
8,25,24,25,99,55,29,53,73,6,1
3,70,32,93,30,20,93,5,0,23,0
28,15,93,14,74,98,1,54,13,15,-1
54,7,96,47,19,0,36,61,53,37,1
21,69,7,44,86,3,14,8,21,57,0
71,75,79,68,29,11,5,68,33,85,1
31,28,47,76,95,89,16,64,52,21,0
75,85,24,64,65,75,13,94,62,17,1
58,58,50,50,36,78,39,10,48,33,0
85,6,38,75,68,91,31,46,40,61,-1
29,10,1,78,80,21,0,79,69,15,-1
93,65,29,38,60,82,52,59,25,95,1
41,85,10,51,23,97,99,100,77,51,0
52,84,56,29,9,63,35,46,22,70,-1
69,50,76,22,10,0,32,62,82,70,0
93,36,31,42,38,38,27,6,37,2,1
28,95,40,24,71,37,80,62,30,63,-1
68,89,29,46,55,29,65,40,14,22,-1
30,46,36,96,2,31,71,15,28,13,-1
18,40,7,15,69,75,63,12,58,62,-1
42,65,39,53,49,70,100,83,67,5,1
67,89,68,6,80,57,88,63,21,61,0
36,58,100,37,66,86,44,23,33,20,-1
37,16,35,51,14,45,4,35,24,58,-1
76,45,72,81,84,67,16,4,98,90,1
47,54,40,90,18,19,57,14,94,37,0
67,86,91,91,75,49,89,86,43,43,1
47,28,65,99,98,14,68,37,29,79,-1
24,31,17,16,35,17,12,56,47,56,-1
95,91,28,18,82,90,23,13,30,32,0
31,73,10,93,5,50,17,39,3,89,-1
21,96,45,78,87,7,64,25,17,27,1
76,27,29,47,14,74,13,80,18,3,-1
38,73,32,45,75,90,89,80,34,51,-1
99,35,96,14,16,54,7,65,29,88,1
12,41,0,91,5,96,65,95,30,64,1
22,59,24,53,66,11,46,75,26,100,0
75,87,28,78,17,55,55,80,0,47,-1
24,80,61,93,66,21,22,54,59,99,-1
60,44,11,86,85,18,45,27,92,34,0
35,33,48,47,49,35,35,51,93,11,1
46,43,81,91,24,86,37,15,63,95,-1
80,29,99,54,97,60,35,57,39,54,1
94,69,33,49,46,21,89,55,9,30,0
31,64,26,74,2,80,61,24,63,79,-1
94,74,82,63,85,5,8,58,84,56,1
52,57,70,11,22,41,7,77,38,67,1
27,4,30,78,67,98,18,55,100,73,1
70,34,11,83,85,36,24,69,80,33,-1
34,20,1,82,44,24,11,33,63,46,-1
32,55,28,29,35,92,35,59,96,8,-1
42,49,66,54,26,27,41,41,55,60,0
15,18,27,95,25,52,11,18,69,53,-1
32,32,75,68,36,55,30,89,27,89,1
67,97,94,1,84,24,100,97,14,80,1
100,76,66,4,71,52,4,74,20,39,-1
85,25,13,46,50,61,70,39,76,80,0
22,0,39,58,25,15,20,93,35,38,-1
88,6,95,39,84,18,40,57,76,11,1
69,92,80,67,9,54,74,39,24,84,0
21,81,59,52,79,25,2,59,66,93,0
24,58,95,12,60,35,21,75,81,51,-1
52,66,49,56,76,98,95,58,4,17,0
26,47,66,85,27,16,36,5,21,86,1
58,81,6,30,86,49,51,23,19,59,-1
28,11,60,43,74,41,67,96,13,71,0
36,2,94,82,2,31,82,14,73,49,-1
21,45,70,67,78,15,95,99,100,90,1
47,72,88,15,85,65,17,9,5,61,-1
4,82,99,29,28,26,93,81,49,24,-1
81,81,76,42,98,86,39,30,32,28,1
31,2,29,0,90,53,64,95,64,14,1
63,84,41,95,68,49,96,94,49,91,-1
31,100,96,12,40,26,75,47,48,6,1
80,5,2,59,75,32,67,18,44,27,-1
25,90,78,55,54,39,31,62,40,38,0
90,47,24,18,20,72,93,5,5,28,0
20,19,36,96,13,82,71,30,95,23,1
9,95,91,55,76,2,43,19,66,83,-1
55,47,25,7,11,27,26,8,37,2,0
46,63,51,59,41,91,17,5,49,48,-1
37,14,20,27,84,38,22,15,35,9,0
21,15,60,22,100,15,3,17,23,61,0
28,92,64,93,72,13,31,78,82,32,1
100,43,34,79,9,82,32,54,83,45,0
6,15,24,61,0,35,66,42,50,10,0
70,0,46,78,78,66,26,20,51,72,-1
3,47,8,70,92,33,3,8,7,69,0
26,59,35,97,44,66,14,68,50,22,-1
76,100,59,5,33,60,46,61,9,62,1
58,11,84,41,52,63,53,97,23,70,-1
68,59,42,18,8,30,59,16,35,96,0
86,71,6,52,25,48,70,30,50,47,1
35,59,4,2,22,1,81,51,76,76,1
43,11,99,19,32,15,84,67,79,28,-1
10,97,73,50,65,63,83,55,70,66,0
81,8,67,50,65,49,46,73,21,32,0
61,99,61,26,34,79,33,44,70,55,0
15,70,50,54,68,33,10,48,29,36,1
22,58,3,89,7,52,1,83,60,47,-1
71,36,2,86,76,23,48,65,77,95,-1
93,23,33,60,73,43,51,85,91,19,0
28,66,63,77,9,96,72,57,33,64,0
14,96,3,89,77,72,30,64,42,18,-1
37,67,15,82,78,43,31,61,25,69,0
54,42,15,53,68,14,20,17,66,90,-1
49,46,53,73,90,27,7,100,77,24,-1
63,36,84,43,79,75,9,32,29,61,-1
78,68,7,15,42,48,58,0,51,44,0
25,9,62,31,9,97,86,56,50,26,1
17,20,76,63,33,42,87,77,94,21,1
82,7,33,56,84,88,76,90,23,50,0
72,93,53,56,66,2,14,37,96,17,0
42,47,3,25,29,95,47,66,87,52,-1
78,50,85,1,95,27,94,23,80,39,0
93,26,20,63,66,13,22,8,61,78,1
24,9,2,64,72,0,99,42,9,76,0
95,54,19,73,32,13,48,25,9,40,-1
34,20,53,32,33,100,54,2,88,32,1
2,88,29,1,12,89,78,55,79,12,-1
17,19,24,52,60,99,84,10,95,90,1
54,48,1,96,19,66,11,52,21,68,1
30,34,89,1,56,5,18,89,53,21,0
37,98,50,28,15,58,54,24,32,94,1
57,69,25,53,43,64,98,18,36,46,0
9,10,50,1,29,5,27,54,45,39,0
33,84,59,48,85,77,68,30,13,37,1
51,81,36,44,27,89,29,71,6,92,-1
36,56,36,86,45,7,96,96,37,48,0
75,52,76,91,44,65,40,49,87,76,0
40,95,97,83,65,41,69,59,36,23,1
17,26,86,37,71,82,32,61,9,90,1
12,43,32,55,1,81,98,6,12,83,0
45,54,89,78,50,36,55,41,97,41,-1
45,15,35,70,15,2,93,79,19,73,-1
97,67,35,89,56,8,7,1,10,7,0
79,38,69,73,85,3,20,42,69,80,1
63,58,23,38,73,80,90,94,98,0,0
63,64,7,24,96,79,21,78,88,90,1
92,94,40,51,42,2,38,44,65,48,0
71,81,37,26,97,81,4,58,9,76,1
54,2,48,83,49,21,20,39,36,85,1
90,9,70,58,9,50,67,13,21,72,0
6,71,97,73,94,27,1,98,56,27,1
57,99,2,68,63,51,1,53,10,55,-1
99,65,31,86,18,92,5,21,30,70,-1
12,34,50,78,51,75,29,57,12,42,-1
0,72,82,62,77,3,74,64,17,59,0
95,95,24,33,97,58,68,71,48,78,0
46,73,26,99,43,89,25,13,0,45,1
94,50,49,97,50,68,47,76,50,2,1
59,61,32,41,17,33,95,5,57,94,-1
3,39,33,9,85,46,96,23,12,43,-1
54,68,44,24,69,86,97,79,72,8,0
55,31,4,61,27,2,73,98,92,49,1
84,26,68,12,49,78,22,46,84,9,-1
54,23,7,17,81,75,44,50,12,43,0
65,13,8,65,99,3,80,82,19,30,-1
97,44,97,95,6,92,52,31,49,95,0
31,26,78,20,99,89,3,70,8,93,0
62,100,96,56,43,13,2,69,23,78,0
74,52,7,92,26,94,71,79,10,31,1
82,36,26,41,31,4,14,15,44,65,0
67,89,27,51,27,59,97,18,75,89,1
85,61,7,11,27,27,17,6,42,67,0
68,77,78,10,11,45,36,57,36,69,-1
53,21,65,99,70,19,8,14,95,94,1
49,93,96,50,38,16,49,83,63,10,0
0,60,5,54,24,16,18,75,52,84,1
97,71,23,80,96,83,34,67,95,41,1
34,10,14,83,41,12,70,4,73,58,1
18,65,78,9,77,81,83,41,6,78,-1
70,35,2,93,66,60,26,91,63,67,0
56,85,30,40,88,94,73,18,51,65,1
87,5,33,94,2,17,91,19,4,95,0
10,98,47,35,56,52,72,21,66,52,0
39,18,90,8,0,91,32,2,50,79,1
40,76,77,10,48,82,51,3,83,4,0
51,74,0,85,94,35,40,15,65,29,0
85,39,100,97,91,97,53,21,48,55,1
87,80,20,24,59,55,0,44,32,65,0
13,17,24,100,20,26,39,36,100,1,-1
98,27,61,8,94,60,45,69,55,19,1
33,24,64,98,39,38,40,4,67,13,1
18,28,73,36,30,3,53,7,85,97,-1
12,75,37,62,13,56,18,45,32,2,-1
1,82,9,57,4,12,76,12,18,16,1
81,28,37,64,8,85,32,91,83,41,1
67,71,72,20,56,65,12,57,65,89,1
89,36,75,23,94,4,78,4,81,96,-1
81,63,88,97,36,40,26,51,26,20,1
69,79,4,35,14,63,56,87,3,35,0
12,56,86,52,7,24,62,52,45,31,1
25,90,38,50,48,82,22,28,9,65,1
16,48,80,54,88,12,52,66,6,58,1
83,25,5,49,39,76,98,87,39,43,0
82,71,90,41,70,47,4,55,55,92,-1
82,67,97,2,89,38,69,58,67,46,-1
13,54,94,90,35,50,17,89,93,6,-1
56,8,91,93,91,26,4,0,93,85,-1
38,60,69,51,1,55,90,73,7,31,0
93,7,52,1,57,95,32,77,92,73,0
30,80,33,76,67,8,29,64,70,20,-1
9,98,99,45,73,0,14,60,7,20,0
89,91,94,57,12,3,0,97,16,62,-1
61,89,70,93,46,20,30,43,25,79,1
97,94,60,88,74,66,5,0,64,54,-1
57,0,58,66,75,100,7,87,54,71,-1
62,88,64,64,33,14,88,91,16,74,0
92,99,100,51,67,36,26,17,62,57,0
75,3,97,51,12,50,22,47,68,82,-1
72,28,32,24,74,31,53,93,56,87,0
10,2,29,79,1,5,87,43,68,5,0
53,28,99,20,37,84,52,19,86,14,1
55,24,81,90,83,62,18,47,4,74,1
29,57,38,28,51,94,88,5,99,94,-1
91,38,94,26,55,27,61,9,82,73,1
71,70,50,84,23,94,30,27,74,96,0
56,50,90,8,66,82,2,25,32,100,1
12,41,62,31,52,24,81,31,9,42,0
84,24,62,86,89,71,14,89,76,16,0
1,43,13,26,7,84,48,48,66,42,-1
92,19,50,98,86,52,43,45,82,88,1
30,54,31,88,49,28,12,34,42,36,0
55,83,64,97,31,10,100,98,36,48,0
51,25,60,59,46,76,13,83,79,84,-1
19,99,0,81,71,80,8,23,70,34,-1
15,76,42,23,50,63,67,53,47,64,0
92,65,39,92,92,77,4,47,13,30,-1
30,40,45,89,51,82,87,64,38,6,0
58,78,84,40,58,50,46,12,61,33,1
82,76,26,29,40,12,58,17,50,40,-1
47,46,19,94,6,72,26,95,35,95,1
78,62,68,58,3,88,43,15,89,67,-1
46,49,80,17,54,94,64,33,38,68,1
96,40,66,90,84,78,87,83,75,87,1
80,99,80,39,28,62,19,9,93,5,0
38,47,27,91,10,79,11,93,28,12,-1
53,100,73,76,49,18,65,66,52,39,0
49,65,76,36,31,78,99,34,15,30,1
0,64,84,36,91,9,90,72,97,88,1
23,42,74,91,0,94,84,97,43,35,-1
89,40,15,96,71,91,41,47,36,28,0
4,61,67,25,97,41,67,37,54,75,-1
22,4,83,62,69,75,88,93,25,7,-1
64,39,54,65,34,90,32,29,18,8,-1
33,35,46,17,57,51,6,61,64,4,-1
0,28,18,5,79,49,70,49,21,2,1
54,65,3,100,92,87,48,55,38,67,0
34,35,44,38,98,38,36,89,75,44,-1
77,93,63,68,33,16,69,32,1,3,1
32,83,91,99,64,36,44,99,8,13,1
37,85,99,12,64,19,54,7,27,62,-1
30,19,43,0,95,60,92,90,86,24,1
85,88,69,56,31,68,39,53,9,33,1
61,97,7,43,100,16,84,57,16,50,1
87,30,31,60,45,18,53,35,51,9,1
66,73,95,69,23,97,78,73,18,75,0
33,66,57,37,6,51,85,50,41,22,0
89,89,90,88,0,33,76,37,54,59,-1
31,95,75,73,71,49,10,21,11,24,-1
28,54,46,54,49,38,74,88,69,8,0
72,94,10,66,13,34,87,87,17,32,-1
54,93,98,29,64,3,56,66,95,84,1
47,20,100,56,20,73,74,36,20,39,-1
69,14,11,63,27,13,38,77,38,17,0
12,34,67,50,5,73,71,93,11,60,0
39,34,55,93,73,28,11,93,3,28,-1
62,20,80,74,46,26,32,40,41,3,0
16,9,96,89,96,74,10,91,55,90,1
70,15,54,65,20,70,11,26,89,68,1
98,20,74,37,51,64,12,4,42,22,-1
62,75,63,23,63,24,8,48,11,3,0
41,85,39,87,73,91,25,17,9,66,-1
82,46,12,98,67,42,41,57,23,52,-1
67,73,69,27,99,67,65,87,38,17,0
33,21,6,13,17,16,66,74,10,72,0
50,15,74,19,49,60,60,42,60,75,-1
70,18,31,63,76,75,13,18,79,98,-1
69,20,11,12,14,33,34,49,39,69,-1
94,89,14,65,23,15,36,56,40,8,1
36,52,52,19,13,46,9,43,27,17,0
90,100,97,21,6,87,94,29,7,74,-1
30,20,82,57,46,77,34,35,17,63,-1
47,24,8,15,23,76,47,25,90,86,-1
8,86,30,82,54,35,96,76,82,75,1
15,98,55,83,3,13,97,64,77,18,0
48,96,60,37,60,71,6,47,20,42,-1
70,32,57,44,40,45,70,20,77,21,1
45,17,2,85,94,42,41,3,75,13,0
24,92,61,7,31,11,17,40,10,40,1
57,42,60,62,6,14,63,88,50,55,-1
74,2,90,75,37,93,38,70,72,59,-1
15,91,61,33,7,93,55,66,2,18,-1
70,93,30,48,20,19,63,92,66,18,0
30,61,46,84,95,28,60,95,86,35,1
19,43,20,16,98,98,39,12,88,52,0
37,89,5,3,61,33,65,40,46,68,0
14,64,17,46,86,32,8,55,77,77,-1
66,52,6,76,56,45,84,16,1,54,-1
89,10,60,9,68,42,95,52,73,58,1
42,41,56,1,75,66,79,92,80,3,1
58,7,62,8,78,69,9,61,76,18,-1
15,67,23,21,88,100,18,87,99,29,0
100,5,64,93,54,30,68,6,82,73,-1
88,81,59,39,72,49,19,34,72,25,1
41,9,53,61,61,4,63,47,24,56,-1
59,43,47,48,57,83,76,25,1,78,-1
82,67,95,29,39,28,26,25,58,18,-1
34,95,98,63,25,71,59,11,9,89,1
93,19,4,15,5,1,61,51,68,33,1
90,37,40,64,94,31,51,32,87,7,1
50,87,63,88,67,46,28,5,6,26,0
26,59,60,100,79,61,83,49,48,22,0
66,99,85,67,18,89,16,83,21,21,1
25,17,97,83,59,100,14,18,39,35,0
47,35,56,28,24,93,67,72,5,43,1
81,27,5,21,55,34,17,71,74,47,1
45,57,36,10,23,89,75,17,79,5,-1
38,29,44,98,54,13,79,1,36,35,1
31,24,53,76,8,100,36,4,58,94,0
47,55,42,78,95,40,70,34,49,57,0
6,13,37,81,54,3,12,34,31,95,1
17,23,89,99,58,32,93,80,41,89,0
82,22,97,84,60,24,13,76,54,44,1
66,75,97,50,41,20,5,35,21,48,0
88,0,23,8,19,78,6,14,15,21,1
17,37,37,50,87,21,54,99,85,31,-1
11,65,14,37,2,89,50,35,35,33,1
42,8,27,30,26,1,24,79,12,52,1
15,53,40,34,54,44,6,93,32,70,0
34,53,34,16,76,14,48,23,83,98,1
48,32,66,67,19,4,29,65,34,82,0
86,97,13,35,0,32,1,1,60,95,0
7,29,92,36,16,98,49,34,79,57,1
86,3,97,85,29,55,19,100,88,96,-1
69,2,65,67,94,66,86,53,30,9,-1
48,94,59,29,11,75,2,9,95,39,-1
92,15,90,25,12,8,54,30,96,54,1
30,79,91,29,79,2,93,21,9,87,-1
53,21,79,82,52,18,31,100,27,83,1
5,87,50,42,38,53,69,43,73,32,0
90,24,58,95,42,45,53,61,37,61,-1
32,70,30,26,52,87,21,61,57,45,0
44,21,57,72,33,4,86,79,7,2,-1
65,23,43,22,22,1,17,26,41,32,0
59,15,3,91,14,31,1,100,9,71,1
98,8,44,96,14,8,38,71,42,51,1
44,1,20,86,42,34,40,60,39,84,0
85,50,65,11,90,43,71,52,72,59,1
93,53,57,69,2,68,14,91,3,74,0
26,50,74,33,43,31,39,66,99,31,-1
71,68,9,33,62,80,66,20,9,72,1
99,53,30,74,63,71,100,26,75,57,1
75,5,78,17,35,42,100,21,65,32,-1
76,64,55,25,63,86,90,70,96,30,0
25,100,21,49,86,24,29,58,82,18,0
74,5,33,56,65,69,7,31,6,98,0
83,68,77,28,45,90,77,81,58,72,1
15,63,65,72,67,11,96,33,4,50,-1
82,67,51,52,45,55,74,27,93,35,0
58,19,53,86,18,2,93,65,37,71,-1
70,19,9,44,3,69,59,92,56,46,-1
49,78,18,5,55,71,62,15,60,38,-1
37,45,70,6,97,7,26,67,68,97,-1
20,98,93,11,36,75,89,38,20,52,-1
92,58,65,38,79,23,65,98,41,43,0
48,39,80,76,86,28,49,15,48,11,0
46,99,47,44,63,9,39,87,82,18,1
6,40,26,67,79,5,45,3,50,49,0
27,55,81,10,84,86,1,3,81,4,-1
20,39,33,80,78,7,4,12,57,31,-1
96,77,37,66,57,52,98,14,90,76,1
14,81,92,90,13,58,27,25,18,61,1
9,32,62,38,93,87,21,35,95,20,1
35,13,70,17,83,95,3,82,64,77,1
99,71,51,0,20,97,54,32,94,16,-1
59,50,82,28,70,50,47,46,27,86,0
78,39,83,59,86,67,0,70,100,48,-1
62,48,70,67,17,6,55,6,6,44,1
74,35,19,60,2,49,60,23,90,18,0
34,14,33,23,88,21,26,43,29,67,1
28,65,24,32,36,40,74,69,13,22,1
7,1,83,6,78,82,81,36,35,68,1
27,73,41,82,95,18,6,81,70,54,0
21,5,97,76,71,46,83,1,55,33,-1
57,29,54,7,78,92,83,47,34,11,-1
45,30,41,71,56,38,61,99,32,71,-1
86,56,63,57,74,27,61,11,0,50,-1
85,89,52,62,12,29,56,31,29,36,0
2,78,41,54,38,89,42,57,91,38,1
67,17,46,98,34,76,8,50,22,47,1
99,97,92,14,48,61,32,25,46,31,0
81,70,94,67,61,54,42,20,92,71,-1
85,72,56,67,97,30,97,59,80,52,1
54,64,29,59,10,61,44,79,1,76,1
99,62,95,60,12,6,58,26,24,74,1
99,19,27,3,0,65,77,51,84,69,0
61,4,5,21,82,99,28,28,69,29,-1
100,50,27,48,94,18,61,17,17,14,0
10,21,38,19,88,3,18,43,68,37,-1
90,89,27,73,8,79,48,48,51,67,1
88,92,42,1,99,44,100,10,95,84,-1
20,24,83,28,61,63,48,53,71,10,-1
63,48,60,94,39,34,86,16,90,31,1
10,79,66,69,3,25,75,51,25,49,1
27,5,24,77,53,10,37,13,21,19,1
93,82,67,58,23,52,93,42,83,75,-1
79,43,61,92,34,56,21,8,52,53,1
0,62,44,62,25,86,56,85,78,22,-1
79,61,57,70,23,58,1,56,0,68,0
1,87,3,37,88,91,20,97,94,18,-1
89,54,67,54,56,82,41,78,6,96,-1
16,37,73,76,55,36,50,10,26,56,-1
52,13,90,70,24,45,84,69,33,60,-1
98,18,100,14,61,40,70,62,23,33,-1
15,87,50,69,50,48,30,37,44,95,-1
39,81,72,25,39,42,55,14,6,32,0
53,47,68,84,29,29,31,5,78,20,0
100,41,99,43,44,72,89,63,61,73,1
62,25,98,58,34,59,91,39,41,24,-1
84,27,19,51,57,34,7,56,96,85,-1
100,60,29,31,82,77,38,4,5,65,0
38,29,22,48,83,62,8,69,9,47,-1
1,47,0,60,38,33,50,48,28,47,1
48,47,87,55,33,69,56,21,25,5,0
72,12,73,44,81,7,42,8,20,22,0
76,2,84,43,25,51,11,70,32,19,1
76,24,80,84,55,51,59,73,53,72,0
30,10,44,22,90,75,7,69,70,73,-1
53,80,61,12,67,77,61,82,42,58,0
57,87,28,9,65,11,8,52,86,75,-1
97,44,37,19,86,55,6,22,36,96,-1
50,0,37,36,72,58,24,95,9,62,-1
35,62,48,0,81,68,48,57,18,22,1
42,15,2,97,73,53,10,30,13,82,-1
61,17,2,80,38,53,11,10,77,88,1
15,28,40,10,37,9,63,85,14,14,1
43,77,14,7,36,77,45,8,25,45,1
72,13,67,39,98,37,71,79,14,56,1
78,8,4,77,40,3,26,45,10,2,-1
76,62,45,84,22,87,26,35,26,35,0
33,43,82,62,62,67,29,67,5,59,1
19,46,97,65,99,1,11,71,85,64,1
37,67,70,96,91,63,33,56,76,5,1
55,20,47,12,95,90,87,63,13,86,1
23,32,69,70,66,88,2,18,95,87,-1
60,0,17,91,9,6,54,91,83,11,1
17,38,72,79,35,58,43,100,75,65,-1
50,22,98,45,34,24,90,37,35,39,0
17,17,56,88,11,60,92,90,81,97,0
53,27,46,12,14,29,58,38,61,82,-1
34,57,99,33,46,40,47,38,86,64,1
56,92,28,0,29,1,42,35,1,88,0
13,64,54,2,75,55,31,54,26,18,0
28,81,87,21,79,18,44,59,31,94,0
0,72,56,76,95,35,75,76,26,29,-1
76,56,20,72,13,28,18,74,7,97,1
63,49,4,5,25,72,82,3,92,5,1
46,43,14,17,13,5,73,88,66,87,1
73,33,44,2,21,6,79,36,73,61,0
67,25,25,20,21,9,87,53,70,6,-1
28,80,68,81,45,79,41,84,71,52,0
8,80,95,99,50,67,80,8,36,61,-1
57,62,70,51,77,40,23,59,62,80,1
22,10,2,75,81,77,13,73,30,79,1
57,98,1,10,74,61,8,49,100,9,0
38,98,33,60,57,24,42,34,58,69,-1
48,61,77,75,72,76,78,82,93,5,1
81,89,39,95,69,65,19,72,55,69,0
48,86,11,72,86,24,82,52,14,55,-1
42,41,33,43,92,26,53,69,78,63,1
21,26,63,26,10,66,28,38,68,51,1
87,12,45,2,91,24,7,38,81,38,-1
23,35,85,57,58,35,41,20,92,94,-1
64,53,8,41,90,10,4,29,79,25,0
23,38,20,0,8,69,98,30,55,78,1
47,32,45,97,10,50,54,70,68,10,-1
33,82,72,57,28,83,39,59,86,29,-1
17,79,88,46,89,72,54,31,52,80,-1
80,94,96,67,75,26,20,66,84,56,0
10,54,30,37,21,17,48,63,5,17,-1
98,19,95,75,96,25,81,42,100,4,0
48,83,10,2,48,19,44,31,98,54,-1
44,29,2,38,22,58,56,52,36,14,-1
32,0,17,7,45,52,68,41,99,68,0
35,2,88,1,82,35,65,67,43,100,-1
81,87,8,95,29,6,87,57,77,41,0
48,9,78,94,23,25,2,0,93,15,-1
11,8,93,95,93,97,27,89,8,97,0
52,75,13,21,82,6,66,36,25,27,0
95,0,92,24,11,26,33,13,73,66,-1
39,14,38,99,14,85,21,97,42,69,0
38,44,52,82,13,26,19,91,26,95,0
80,6,5,42,22,0,40,67,56,35,1
40,3,18,56,80,60,78,65,28,37,1
58,97,74,20,89,43,81,59,23,0,1
97,34,67,30,46,27,70,68,17,57,0
56,70,46,94,82,34,43,66,70,18,1
13,50,42,19,71,30,25,46,11,12,0
35,44,53,38,71,52,6,58,74,78,-1
70,37,97,86,2,85,1,33,9,19,1
63,98,49,23,5,26,72,42,74,93,0
47,34,85,69,60,26,45,80,76,97,1
70,30,93,100,43,56,77,17,44,12,-1
51,88,33,80,8,52,71,32,58,38,-1
73,12,52,33,18,100,79,92,65,11,1
17,94,86,21,22,94,18,83,41,89,0
60,19,39,94,56,78,31,11,29,8,-1
97,11,30,13,80,19,35,61,100,5,0
39,63,8,66,10,90,38,47,66,74,-1
89,59,46,83,48,73,81,73,98,52,-1
1,28,77,80,87,19,21,27,49,52,0
28,99,66,68,50,63,8,22,69,53,0
77,23,52,58,41,17,3,95,84,89,1
78,7,50,76,45,23,31,100,33,78,1
17,90,50,71,0,60,100,61,77,92,1
13,77,70,67,85,3,18,80,54,36,1
55,21,67,77,90,96,24,97,28,65,-1
38,85,87,69,5,51,9,85,77,87,0
51,99,89,1,100,69,28,38,74,42,1
23,20,87,32,35,59,83,48,29,94,0
11,19,69,86,52,8,19,83,45,33,1
100,23,28,85,79,67,87,38,89,92,0
24,18,12,96,57,35,1,39,14,16,1
93,32,44,95,57,27,66,51,20,47,1
72,32,14,49,13,51,97,50,5,83,1
94,59,94,42,88,32,68,43,83,92,1
31,46,68,1,41,73,10,8,19,26,1
88,17,87,27,72,89,99,94,55,43,1
7,9,9,70,37,46,57,96,78,51,-1
42,71,7,81,0,42,90,33,83,33,1
53,24,51,83,68,93,71,87,61,40,1
18,42,72,8,11,11,89,61,11,94,-1
